tweet,label
\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37\nafter a brief sidebar the court/judge has used and agreed upon strike for cause\xe2\x80\xa6 https://t.co/ct6hn7tpew',BLM
rt phoenixfyre86: just got my shirt yesterday! looks great! thanks undeadlabs outlawhue the artwork is amazing. towardbrighterdays naa\xe2\x80\xa6',BLM
"fwiw, i have to take a twitter holiday...i\xe2\x80\x99m finding the distilled horrors of the world - all of which i was aware\xe2\x80\xa6 https://t.co/nryqjdlw1j'",BLM
grandpasnarky lizgrise jeanimroy voxdemocrat ralphyaniz denverodie dan51240891 vince_galietta rebarlaird\xe2\x80\xa6 https://t.co/umxhhwaqhz',BLM
it\xe2\x80\x99s 8:44 am and the murder trial of george floyd is on court tv. i think some wine \xf0\x9f\x8d\xb7 is in order blacklivesmatter\xe2\x80\xa6 https://t.co/4yzosbcpwd',BLM
"firefly trending!? don\'t mind if i do! ""big damn heroes sir!"" - zoe  firefly bhm blm https://t.co/ooykouapul'",BLM
"once again, marxist blm threatens minneapolis.\ni say again, it is well past time that gov't stepped in and out a\xe2\x80\xa6 https://t.co/htrha5mou0""",BLM
breaking consumer news justice for the late nearestgreen masterdistiller jackdaniels whiskey give it a try\xe2\x80\xa6 https://t.co/ugoxhhoaca',BLM
rt tranarchist_: today 1pm\xe2\x80\xa2chapman square \n\nthe jfpk march at 11am is also downtown and will be meeting this. everyone out on this beautif\xe2\x80\xa6',BLM
blm is an idol. christ jesus would not approve.',BLM
rt msdualeh: so proud of the art piece that my class created to celebrate african heritage month africanheritagemonth blm tdsb https://\xe2\x80\xa6',BLM
kindesaurusrex samson_haines wesselbaden traveljunkie56 scobie newscorp look at google. the world is changin\xe2\x80\xa6 https://t.co/judbkpatuy',BLM
rt bombshelldaily: \xe2\x80\x9cblacks for trump\xe2\x80\x9d now under i.r.s investigation \ngroup illegally used foreign donations. espionage blm\nhttps://t.co/\xe2\x80\xa6',BLM
the most racist thing i ever seen in 2021 blm https://t.co/wuagpsmqmc',BLM
"rt sarasidnercnn: the scene right outside the hennepin county courthouse in minneapolis. native americans share their culture, blm suppor\xe2\x80\xa6'",BLM
"rt freedom4horses: $25. that's all blmnational thinks these lives are worth. these are all young horses. many are just babies.they will a\xe2\x80\xa6""",BLM
\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37 would not like a not guilty verdict but says but could come in and presume the d\xe2\x80\xa6 https://t.co/jjbimiiflk',BLM
grandpasnarky addis_gebre_ mom_gypsys nancy20203 dcwingnut forcesforchange lindaawright3 binjured\xe2\x80\xa6 https://t.co/ya6gynkeyx',BLM
just let that sink in. \nblm americawakeup https://t.co/32upbx84vu',BLM
"rt antheaj47: you realise you're living in a fcuked up world when the ones who claim they're not racist are the ones who are continually\xe2\x80\xa6""",BLM
nan,BLM
"rt sensei72769847: blm \nblue lives matter\n-police officers are human beings too yknow\n-they're usually pretty chill and are the reason wh\xe2\x80\xa6""",BLM
rt _hassanf: drop. the. patents. \n\na pandemic. 1 year. \n\npeoplesvaccine \nnovaccineapartheid \nvaccinequity \nblm https://t.co/o7kbjgylud',BLM
"i got it! figured it out! \xf0\x9f\x99\x84\xf0\x9f\x98\x82\xf0\x9f\x98\x82\nso, it appears the dems are making way for 'baddies' to roam freely!\nremember who de\xe2\x80\xa6 https://t.co/q1fs1rvyk7""",BLM
"we, the people, are sick n fuckin tired of seeing corruption within government forces.\n\nwe allow ourselves to be di\xe2\x80\xa6 https://t.co/yd7icbboyy'",BLM
jordanjduran end the endless wars. power and money to the people. m4a blm fightfor15 cancelstudentdebt\xe2\x80\xa6 https://t.co/eexjc80oef',BLM
nan,BLM
"\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37 will ""try my best"" to be fair\n\ntruecrime\ngeorgefloyd\nderekchauvin\xe2\x80\xa6 https://t.co/15sbtjxg30'",BLM
rt conlinkaitlyn: daz_black \xe2\x9c\x8a\xf0\x9f\x8f\xbb\xe2\x9c\x8a\xf0\x9f\x8f\xbc\xe2\x9c\x8a\xf0\x9f\x8f\xbd\xe2\x9c\x8a\xf0\x9f\x8f\xbe\xe2\x9c\x8a\xf0\x9f\x8f\xbf all colours are beautiful! and blm https://t.co/lwtlnjyjiw',BLM
rt imrau2: \xf0\x9f\x96\xa4 i hope this can help you understand that all lives can\xe2\x80\x99t matter until black lives matter ! blm \xf0\x9f\x96\xa4if u still dont get it ...\xe2\x80\xa6',BLM
"people of blm blacklivesmatter should already be in the streets around the world protesting  derekchauvin hasn't\xe2\x80\xa6 https://t.co/wvvyyq47k1""",BLM
fightback against the weaponisation of antisemitism https://t.co/1c9bwgwdvy exlabour socialists blm',BLM
jury selection only. georgefloyd  derekchauvincase blm \n\nwatch live | jury selection continues for murder trial\xe2\x80\xa6 https://t.co/hhkkib1pr5',BLM
rt bombshelldaily: george floyd murderer now facing third-degree murder charge\njudge has now allowed prosecutors to add an additional char\xe2\x80\xa6',BLM
"rt onejurormatters: \xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37, i can be fair, i can be impartial, but i can not unsee that video\n\ntruecrime\ngeo\xe2\x80\xa6'",BLM
daz_black \xe2\x9c\x8a\xf0\x9f\x8f\xbb\xe2\x9c\x8a\xf0\x9f\x8f\xbc\xe2\x9c\x8a\xf0\x9f\x8f\xbd\xe2\x9c\x8a\xf0\x9f\x8f\xbe\xe2\x9c\x8a\xf0\x9f\x8f\xbf all colours are beautiful! and blm https://t.co/lwtlnjyjiw',BLM
"\xf0\x9f\x8e\x99\xe2\x9a\xbd\xef\xb8\x8fepisode 19 interview with quincy amarikwa, director for strategic partnerships with the bpcmls and all the work\xe2\x80\xa6 https://t.co/pjq06pq8w9'",BLM
rt jajawoot: overdose data for first two months of 2021. safesupply decriminalization healthequity ilm blm https://t.co/kwsoqqnuph',BLM
rt merseynewslive: why the treatment of meghan markle sends the wrong message to our children. check out our latest short video:\n https://\xe2\x80\xa6',BLM
rt peaceoneday: filming with iamkashsiddiqi and yandhanda for 21 march anti-racism live global digital experience. \n\nffp_global fightr\xe2\x80\xa6',BLM
why the treatment of meghan markle sends the wrong message to our children. check out our latest short video:\xe2\x80\xa6 https://t.co/rpyomo1btd',BLM
"\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37, i can be fair, i can be impartial, but i can not unsee that video\n\ntruecrime\xe2\x80\xa6 https://t.co/1h6k4szzkd'",BLM
"michaelleinbach the resistance don't fuck with stupid!\nwearetheresistance  strongertogether\xe2\x80\xa6 https://t.co/t30btopt8d""",BLM
"rt sturmnextterm: we spend more than any other nation on healthcare, but have a system that is either too expensive, or completely out of\xe2\x80\xa6'",BLM
"errolwebber blm is a radical neomarxist and racist movement, create for racist by racist.'",BLM
\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37 does not like violent aggressive videos but could make an exception if chosen as\xe2\x80\xa6 https://t.co/1l4gwqe8je',BLM
rt sillymickel: fng 3/9  \xe2\x80\x9cit is so much a part of our thinking we fail to notice any problem when the tough guy police officer on the silv\xe2\x80\xa6',BLM
\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37 admits she cried when she saw the video of george floyd crying for his mom\xe2\x80\xa6 https://t.co/fc5i66kvm1',BLM
"mon jun 01 2020 bentonville, arkansas - law enforcement tear-gas a crowd chanting \xe2\x80\x9cwe want peace\xe2\x80\x9d right after exiti\xe2\x80\xa6 https://t.co/oimbudsfkr'",BLM
nan,BLM
"rt rn00711: merrick garland this is why we need you in the doj. fix issues like this! investigate bad policing! blm\n\n""man sues hertz for\xe2\x80\xa6'",BLM
rt mwcartoons: justice for georgefloyd? will a white officer again get away with killing a coloured man?\ngeorgefloyd icantbreathe cou\xe2\x80\xa6',BLM
bluelivesmtr everyone across the country is going to see this happen. this is why legitimate gun sales are soaring\xe2\x80\xa6 https://t.co/2csgz5k63m',BLM
"blm \nblue lives matter\n-police officers are human beings too yknow\n-they're usually pretty chill and are the reaso\xe2\x80\xa6 https://t.co/w825nufwma""",BLM
rt reactionpower: you have power \xf0\x9f\x92\xaa use that power for good. find out more here https://t.co/cncb8qgvrg\n\npowerlife wednesdaywisdom leade\xe2\x80\xa6',BLM
rt warnockwarrior: sethabramson urocklive1 biden cares about the people of texas \xf0\x9f\xa4\xa0\n\nthe people of texas are in all of our hearts at this\xe2\x80\xa6',BLM
overdose data for first two months of 2021. safesupply decriminalization healthequity ilm blm https://t.co/kwsoqqnuph',BLM
\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37 has seen most of the videos 4+ times\n\nsaw the facebook video in full 1x where sh\xe2\x80\xa6 https://t.co/ocvealcymw',BLM
"hey everyone, check this article out at https://t.co/keien3l05n\nblm blacklivesmatter student https://t.co/jnb46ozqar'",BLM
"rt onejurormatters: \xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37\nhas very negative opinions of derek chauvin, that hasn't evolved or changed\n\nsays c\xe2\x80\xa6""",BLM
"she\'s ""press"" for god\'s sake. but she was focusing on blm and not maga, that\'s the real issue. https://t.co/pciec0eaqq'",BLM
caitlinmoran did white media women care this much when black women nicolesmallman and bibaahenry were murdered i\xe2\x80\xa6 https://t.co/zl6ydohk5k',BLM
"jl2020_jim abriolalisa lizfortx8 lol\n\nyou don't even understand what blm means, do you?""",BLM
"\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37\nhas very negative opinions of derek chauvin, that hasn't evolved or changed\n\nsay\xe2\x80\xa6 https://t.co/cwwkfi0ayl""",BLM
rt mrtom2360: doj did not charge officer wilson b/c of forensics &amp; black witnesses https://t.co/oyzrv7x8dx  \nmartin was trying to bash in\xe2\x80\xa6',BLM
"3rd degree murder charge rightfully reinstated.  however, jury selection is going to be slow, to say the least\xe2\x80\xa6 https://t.co/v8dlqacahl'",BLM
antifa is a criminal mob\nblm is a criminal mob\ndnc is a criminal mob\nbigtech is a criminal mob\nunderstand the connection now?',BLM
"rt pbproject: austin\narlington, tx\nbaltimore\nboston\nchicago\ncolumbus\ndc\ndenver\ndetroit\nlas vegas\nla\nminneapolis\nnew orleans\nnyc\noklahoma c\xe2\x80\xa6'",BLM
nan,BLM
\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37 says her views may have evolved since filling out the original questionnaire bac\xe2\x80\xa6 https://t.co/zuxhg5sa0y',BLM
"rt mwertlieb: ""...it really kind of just pulled the lid off the community. we were as divided as the country was."" new mayor of vergennes\xe2\x80\xa6'",BLM
doj did not charge officer wilson b/c of forensics &amp; black witnesses https://t.co/oyzrv7x8dx  \nmartin was trying to\xe2\x80\xa6 https://t.co/jyxrl4t6le',BLM
\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37 is open to others opinions &amp; would attempt to be fair and impartial but not sure\xe2\x80\xa6 https://t.co/ydvztbh2zj',BLM
judge reinstates third-degree murder charge in death of george floyd - https://t.co/g45d9xp30s\n\nblm \nsayhisname\xe2\x80\xa6 https://t.co/fggwxvp1k1',BLM
rt deplorable3rd: glad someone is keeping their eye on the ball. everything they do is to distract and most of us are guilty of biting fro\xe2\x80\xa6',BLM
rt vicic_carol: how many millions did the insurrectionist speakerpelosi give to blm and antifa?',BLM
call the number below! ask the original blm if they\xe2\x80\x99re getting rid of beautiful horses so that welfareranchers ca\xe2\x80\xa6 https://t.co/yzhxuupavr',BLM
rt instafames: this is nothing againt blm  but it\xe2\x80\x99s so frustrating to see spanish celebrities or latin public figures who were quick to p\xe2\x80\xa6',BLM
"\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37 unable to put the video aside\n\nj37 says it'll be traumatizing to have to see the\xe2\x80\xa6 https://t.co/xmaaicxxei""",BLM
"i\xe2\x80\x99ll say it 1,000 times, when it comes to a poc telling you, a white person, about blm and how it is to live their\xe2\x80\xa6 https://t.co/vayrpwlr86'",BLM
"rt inspgadgetblogs: police 'taking the knee' during blm protests was the most embarrassing and outrageous strain on our reputation. i lit\xe2\x80\xa6""",BLM
"buster443 berriojo1 foxnews unfortunately, yes i do.\n\nif kissing ass is what i need to do as penance for my race\xe2\x80\xa6 https://t.co/usnczl1l1u'",BLM
rt joelewisgod: blm and antifa are the terrorist branches of the dnc https://t.co/s0gmuypglr',BLM
rt sillymickel: fng 3/8  \xe2\x80\x9cso they see no problem in straying over lines to get what they want. we see that element in virtually all tales\xe2\x80\xa6',BLM
how many millions did the insurrectionist speakerpelosi give to blm and antifa?',BLM
ama_plange tenby_mosque hen_helper fogo104 calvinrobinson everybody bad mouths blm  have you ever seen good p\xe2\x80\xa6 https://t.co/gsy08cdr5s',BLM
"beth moore, a prominent evangelical, splits with southern baptists https://t.co/xbjx6kpvp8 wakeup finally\xe2\x80\xa6 https://t.co/gjcrcwiqlv'",BLM
cancel culture cancelling pepe le pew.  he was a romantic but he did do some unwanted touching.  maybe he should ap\xe2\x80\xa6 https://t.co/arbm60jsb7',BLM
this is not okay... https://t.co/g1ul8lxjck thuminnoo blm blackartist https://t.co/2aowzt79g4',BLM
"\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37 is concerned for her well being &amp; that of her children, courthouse security made\xe2\x80\xa6 https://t.co/qxrqwbt2nd'",BLM
"let's pass police reform-support the george floyd justice in policing act! - sign the petition!\xe2\x80\xa6 https://t.co/te2klmrxyk""",BLM
"dearest stacey dash --- any rational person would've known better.  you consciously chose to align yourself with a\xe2\x80\xa6 https://t.co/cmdon3qgft""",BLM
"no racism ,black live really matters ,and try to be a good leader not a boss ,share the little you have so other ca\xe2\x80\xa6 https://t.co/uogwywndi4'",BLM
"rt falrals: // george floyd\n\ntw police brutality , black murder\n\nanonymous  are  pretty  quiet  /  hard  to  follow.  here's   a  thread\xe2\x80\xa6""",BLM
rt resistersis20: i am lgbtq and metoo\ni am a proud us history teacher.\ni am the proud wife of a paramedic.\ni am a proud supporter of da\xe2\x80\xa6',BLM
a fantastic discussion on associate cricket between \npeterdellapenna and  icfans members. we discuss path for the\xe2\x80\xa6 https://t.co/iejpslvv6x',BLM
rt christynbyrd: can\xe2\x80\x99t believe it\xe2\x80\x99s been a year \xf0\x9f\xa5\xba.. breonna taylor still deserves justice blm',BLM
good. time to put to bed the idea that challenging slavery links is somehow marxist.  woke blacklivesmatter blm \n\nhttps://t.co/yxuabs2dsv',BLM
\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\nj37 says jury deliberation sequestration is likely a problem but will try her best t\xe2\x80\xa6 https://t.co/riyzc8rucr',BLM
today 1pm\xe2\x80\xa2chapman square \n\nthe jfpk march at 11am is also downtown and will be meeting this. everyone out on this b\xe2\x80\xa6 https://t.co/h9ip0oqn46',BLM
"what does not surprise me is this this new lot of rapist, murders, looters, antifaterrorist and blm scum are even\xe2\x80\xa6 https://t.co/qhppwwu7i3'",BLM
.openmicmedia is proud to work with investor groups who are now pushing bigtech to take real action in support of\xe2\x80\xa6 https://t.co/y002gyttzn',BLM
rt onejurormatters: \xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\njuror/36 has been chosen\n\nmale\n\nwelcome to the party\n\nsee you monday 3/29  9am\n\ntruec\xe2\x80\xa6',BLM
gop wants elderly to die to cut socialsecurity and medicare. blm and latinos to die so less democrats vote. t\xe2\x80\xa6 https://t.co/1h2wonyelm',BLM
\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\njuror/37 (j37) female\n\nunable to unsee the video\n\nwill try to be fair &amp; impartial\n\ns\xe2\x80\xa6 https://t.co/dgey0kegao',BLM
are we woke yet america? wethepeople democrats liberals theleft republicans conservatives theright racism\xe2\x80\xa6 https://t.co/syv86qla2n',BLM
"rt thegiftlist100: .\nchineke4change founder, chichinwanoku speaks at aborchestras - the association of british orchestras conference 20\xe2\x80\xa6'",BLM
rt collegeladydc: so proud of alan scott and alanscottband and his new song and video. thanks for letting me help in a small way! johnle\xe2\x80\xa6',BLM
lindseyboylan joebiden kamalaharris speakerpelosi senschumer sengillibrand repjeffries nydiavelazquez\xe2\x80\xa6 https://t.co/yxpl6yjspd',BLM
thank you jeffersondsmith and joesmith for your contributions to keep xrayfm am listeners informed during\xe2\x80\xa6 https://t.co/yxiofu6klh',BLM
george floyd murderer now facing third-degree murder charge\njudge has now allowed prosecutors to add an additional\xe2\x80\xa6 https://t.co/p0nacf3spa',BLM
\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2breaking\n\n\xf0\x9f\x91\xa4jury selection\xe2\x9a\x96\n\njuror/36 has been chosen\n\nmale\n\nwelcome to the party\n\nsee you monday 3/29  9am\xe2\x80\xa6 https://t.co/s6sfy14saq',BLM
side note: are you someone who believes that people with technological capabilities like genetic manipulation or\xe2\x80\xa6 https://t.co/sf8xpshw71',BLM
"joey_p_golf talbertswan i think the jist of this is, why are they applying so much pressure for black people to t\xe2\x80\xa6 https://t.co/1jzwf88bbn'",BLM
"repjayapal if we are unemployed, we get this money, we still won\xe2\x80\x99t be able to pay all the rent due. we still can\xe2\x80\x99t\xe2\x80\xa6 https://t.co/0snf78fvka'",BLM
so proud of alan scott and alanscottband and his new song and video. thanks for letting me help in a small way!\xe2\x80\xa6 https://t.co/hlavcc1wof',BLM
lynetteromero ktlamorningnews abc7 2killings in as many days around ucr by police blm why isn\xe2\x80\x99t this in the new\xe2\x80\xa6 https://t.co/xnzqrqwuy5',BLM
"rt whotaughtyoupod: this week choreyknows and inksp_ill discuss their boundaries, who they pertain to, who taught them, and more. hit th\xe2\x80\xa6'",BLM
stevechurton bash_ali \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\noh the irony of steve suddenly becoming a champion for all types of diversity after hi\xe2\x80\xa6 https://t.co/2kwlqw5tdz',BLM
repjayapal with that being said! where is the evictionmoratorium for washington state through the end of 2021? yo\xe2\x80\xa6 https://t.co/j5e4vo2u62',BLM
in case anyone forgot..... blm https://t.co/xmqwynzpp8',BLM
"judge oks 3rd-degree murder charge for ex-cop in george floyd's death via politico \n\nonev1 dems4usa demcast\xe2\x80\xa6 https://t.co/muab02iizr""",BLM
dailymailuk i can see trevor phillips as the sort of person standing on the east coasts of africa herding black sl\xe2\x80\xa6 https://t.co/kqjxzno58v',BLM
rt blexit: we do not subscribe to blm inc. \xe2\x9d\x8c https://t.co/6ww57vmutw',BLM
rt mylivestudioart: good morning tweeps! \xe2\x98\x95\xf0\x9f\x8c\xbf\xf0\x9f\x8c\xb7\xf0\x9f\x8c\xbb. its a full blown balmy day on the east coast! \xf0\x9f\x8c\x9e\xf0\x9f\x8c\xb4\xf0\x9f\x91\x80 get out and enjoy the energy! stay safe o\xe2\x80\xa6',BLM
"john smith, independent candidate for avon and somerset police and crime commissioner, says the policing of protest\xe2\x80\xa6 https://t.co/lislqouiys'",BLM
rt decolgroupuu: our unsettling knowledge podcast is back with a brand new episode on teaching anti-racism during the blm movement! how d\xe2\x80\xa6',BLM
"rt st0n3yb0y: all about that base, and that boop n that gate  | !discord !yt !cards | blm intothefog wehyrule  https://t.co/o2d6sd6cne'",BLM
trump2024 bidenharris coming2america blacklivesmatter blm alllivesmatter  check out link\n\nhttps://t.co/inl0vr0gbe',BLM
god bless the child - a poem from my first collection alabwanna: the lonely spirit. \n\ngodblessthechild alabwanna\xe2\x80\xa6 https://t.co/biogvd5ewr',BLM
tonyyymartial hello matthew blm | mythicchd yt how are you',BLM
rt truthhurtsrr: is the naacp alsharpton blm blacklivesmatter really giving a pass to this blackface  &amp; vulgar use of the n-word ?\xe2\x80\xa6',BLM
"we all know they aren't racist for goodness sake!\npeople jump on any bandwagon that suits their agenda. whether it'\xe2\x80\xa6 https://t.co/n56mla3pxh""",BLM
live broadcast: follow the court feeds of the derekchauvin trial for the death of georgefloyd at\xe2\x80\xa6 https://t.co/xhrw6hjjdx',BLM
thank the lord! blm got themselves run over. https://t.co/swfrjtbbaf',BLM
rt markmobility: over 700 complaints about nypd officers abusing blm protesters. followed by complete silence from the agency charged wit\xe2\x80\xa6',BLM
"shaunbaileyuk i don't trust you anyway after you so enthusiastically supported serving police officers kneeling to\xe2\x80\xa6 https://t.co/tpcczumddu""",BLM
"""a couple dozen"" trump supporters called a capitol police officer the n-word during the jan. 6 riot.\n\nkeep that in\xe2\x80\xa6 https://t.co/jdiu7v5gvv'",BLM
"all about that base, and that boop n that gate  | !discord !yt !cards | blm intothefog wehyrule  https://t.co/o2d6sd6cne'",BLM
tennessee permitless carry bill continues to advance.\n\nstation148 gunzone gunrights keepthepieceintheeast\xe2\x80\xa6 https://t.co/iu80jjbdbc',BLM
should we still defund the police? https://t.co/fru9ppf3c6 via youtube crt blm racism whitefragility\xe2\x80\xa6 https://t.co/2dwpdt08w0',BLM
"you realise you're living in a fcuked up world when the ones who claim they're not racist are the ones who are con\xe2\x80\xa6 https://t.co/ne3gfkjusr""",BLM
"veragegatsby itskingnando you cant say blm and killallehites in the same sentence, you\xe2\x80\x99re not a clown, nor the\xe2\x80\xa6 https://t.co/wmn5dzeo3l'",BLM
"apparently even to translate you have to ""match the profile"" and not on skill.\nso theamandagorman should not even\xe2\x80\xa6 https://t.co/2ql82gexnh'",BLM
rt jeffrocks59: looky looky blm supports bad behavior! they never denounced the rioting and looting! they are a joke! guess what you or y\xe2\x80\xa6',BLM
"rt servinglifeva: it cannot be ignored that mr. claiborne and mr. richardson were, in fact, acquitted of the murder of officer gibson by f\xe2\x80\xa6'",BLM
"we are excited to announce that we have received and anonymous $100,000 gift to be used for racialjustice programm\xe2\x80\xa6 https://t.co/eqfjdzsgwh'",BLM
